"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","A","2015",6.056423,
"AUT","HUR","TOT","PC_LF","A","2015",5.733333,
"BEL","HUR","TOT","PC_LF","A","2015",8.5,
"CAN","HUR","TOT","PC_LF","A","2015",6.908333,
"CZE","HUR","TOT","PC_LF","A","2015",5.058333,
"DNK","HUR","TOT","PC_LF","A","2015",6.3,
"FIN","HUR","TOT","PC_LF","A","2015",9.375,
"FRA","HUR","TOT","PC_LF","A","2015",10.35833,
"DEU","HUR","TOT","PC_LF","A","2015",4.633333,
"GRC","HUR","TOT","PC_LF","A","2015",24.95833,
"HUN","HUR","TOT","PC_LF","A","2015",6.833333,
"ISL","HUR","TOT","PC_LF","A","2015",3.991667,
"IRL","HUR","TOT","PC_LF","A","2015",9.958333,
"ITA","HUR","TOT","PC_LF","A","2015",11.89167,
"JPN","HUR","TOT","PC_LF","A","2015",3.375,
"KOR","HUR","TOT","PC_LF","A","2015",3.591667,
"LUX","HUR","TOT","PC_LF","A","2015",6.458333,
"MEX","HUR","TOT","PC_LF","A","2015",4.352943,
"NLD","HUR","TOT","PC_LF","A","2015",6.891667,
"NZL","HUR","TOT","PC_LF","A","2015",5.35,
"NOR","HUR","TOT","PC_LF","A","2015",4.5,
"POL","HUR","TOT","PC_LF","A","2015",7.525,
"PRT","HUR","TOT","PC_LF","A","2015",12.65833,
"SVK","HUR","TOT","PC_LF","A","2015",11.5,
"ESP","HUR","TOT","PC_LF","A","2015",22.075,
"SWE","HUR","TOT","PC_LF","A","2015",7.4,
"CHE","HUR","TOT","PC_LF","A","2015",4.80018,
"TUR","HUR","TOT","PC_LF","A","2015",10.30833,
"GBR","HUR","TOT","PC_LF","A","2015",5.325,
"USA","HUR","TOT","PC_LF","A","2015",5.291667,
"CHL","HUR","TOT","PC_LF","A","2015",6.328377,
"EST","HUR","TOT","PC_LF","A","2015",6.208333,
"ISR","HUR","TOT","PC_LF","A","2015",5.241667,
"SVN","HUR","TOT","PC_LF","A","2015",9,
"OECD","HUR","TOT","PC_LF","A","2015",6.866004,"E"
"LVA","HUR","TOT","PC_LF","A","2015",9.883333,
"LTU","HUR","TOT","PC_LF","A","2015",9.133333,
"COL","HUR","TOT","PC_LF","A","2015",8.960834,
